width,p,r,runtime
1168,1,1,0.0371855
1168,1,1,0.0371091
1168,1,1,0.0371117
1168,2,1,0.0371066
1168,2,1,0.0371098
1168,2,1,0.0371073
1168,4,1,0.0371036
1168,4,1,0.0371245
1168,4,1,0.0371141
1168,8,1,0.0371079
1168,8,1,0.0371165
1168,8,1,0.0371159
1168,16,1,0.0371108
1168,16,1,0.0371003
1168,16,1,0.0371086
1168,24,1,0.0371069
1168,24,1,0.0371135
1168,24,1,0.0371146
1168,32,1,0.0371405
1168,32,1,0.0371149
1168,32,1,0.0371173
