width,p,r,runtime
1168,1,1,0.0372365
1168,1,1,0.0371277
1168,1,1,0.0371052
1168,2,1,0.0371006
1168,2,1,0.0371073
1168,2,1,0.0370985
1168,4,1,0.0371089
1168,4,1,0.0371057
1168,4,1,0.0371073
1168,8,1,0.037114
1168,8,1,0.0371061
1168,8,1,0.0371073
1168,16,1,0.0371154
1168,16,1,0.0371089
1168,16,1,0.0371128
1168,24,1,0.0371026
1168,24,1,0.0371167
1168,24,1,0.0371014
1168,32,1,0.0371071
1168,32,1,0.0371148
1168,32,1,0.0371137
