size,n_patches,nprocs,runtime
800,1,16,18.105634695850313
800,1,16,18.109571527224034
800,1,16,18.136805331800133
800,2,16,4.726715801283717
800,2,16,4.643659844063222
800,2,16,4.636549094691873
800,3,16,2.2212129589170218
800,3,16,2.2580435033887625
800,3,16,2.2110917679965496
800,4,16,1.4886425440199673
800,4,16,1.5677658878266811
800,4,16,1.5710074580274522
800,5,16,1.2549335779622197
800,5,16,1.255889855325222
800,5,16,1.2560658818110824
800,6,16,1.1515581109561026
800,6,16,1.1566430376842618
800,6,16,1.1499836388975382
800,7,16,1.0463439249433577
800,7,16,1.051664977800101
800,7,16,1.0471179080195725
800,8,16,1.0491508999839425
800,8,16,1.0495541892014444
800,8,16,1.1470319838263094
800,9,16,1.0424951897002757
800,9,16,1.1443346058949828
800,9,16,1.04226239817217
800,10,16,1.0429369928315282
800,10,16,1.03991728881374
800,10,16,0.9446461140178144
800,11,16,0.9399072080850601
800,11,16,0.9391912301070988
800,11,16,0.9393258942291141
800,12,16,1.0394249144010246
800,12,16,0.9396704551763833
800,12,16,0.9394873650744557
800,13,16,0.9403450940735638
800,13,16,1.0392891857773066
800,13,16,0.9419902111403644
800,14,16,0.9415802368894219
800,14,16,0.9403046648949385
800,14,16,1.0392597019672394
800,15,16,1.0391923571005464
800,15,16,0.9379179696552455
800,15,16,0.9385336637496948
800,16,16,1.038454313762486
800,16,16,1.0394395687617362
800,16,16,0.9378964891657233
800,17,16,0.9406309272162616
800,17,16,0.9419334367848933
800,17,16,0.9378923419862986
800,18,16,1.0390344858169556
800,18,16,0.9377279807813466
800,18,16,0.9388117119669914
800,19,16,0.9379570987075567
800,19,16,0.9387164367362857
800,19,16,0.939171003177762
800,20,16,1.039402139838785
800,20,16,0.937271379865706
800,20,16,1.0377260721288621
800,21,16,0.9388289647176862
800,21,16,0.9368394911289215
800,21,16,0.937536729965359
800,22,16,1.0379753629676998
800,22,16,1.0378207839094102
800,22,16,1.0387590820901096
800,23,16,1.0386763447895646
800,23,16,1.0373608795925975
800,23,16,1.0384970367886126
800,24,16,1.0382397091016173
800,24,16,0.9371210192330182
800,24,16,0.938622287940234
800,25,16,0.937866894993931
800,25,16,1.0388003820553422
800,25,16,0.938312659971416
800,26,16,1.0377424317412078
800,26,16,1.0384532250463963
800,26,16,1.0376275349408388
800,27,16,0.9379509906284511
800,27,16,1.0391680700704455
800,27,16,1.0372714018449187
800,28,16,1.0378264249302447
800,28,16,1.0375676690600812
800,28,16,1.036629477981478
800,29,16,1.0367234577424824
800,29,16,1.038497974164784
800,29,16,1.0382004505954683
800,30,16,1.0381473861634731
800,30,16,1.0374475242570043
800,30,16,1.0382126038894057
