width,p,r,runtime
1168,1,1,0.0371672
1168,1,1,0.0371065
1168,1,1,0.0371172
1168,2,1,0.0371142
1168,2,1,0.0371019
1168,2,1,0.0371047
1168,4,1,0.0371069
1168,4,1,0.0371078
1168,4,1,0.0371104
1168,8,1,0.0371071
1168,8,1,0.0371052
1168,8,1,0.0371039
1168,16,1,0.0371145
1168,16,1,0.0371164
1168,16,1,0.0371018
1168,24,1,0.0371066
1168,24,1,0.0371179
1168,24,1,0.037107
1168,32,1,0.0370965
1168,32,1,0.0371047
1168,32,1,0.037111
